State	Species	No.Regions	StrainID	Region
California	Hanseniaspora vineae	2	yHQL321	West
Illinois	Hanseniaspora uvarum	3	yHQL354	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHQL342	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHRVM168	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHQL355	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHQL481	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHQL348	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHRVM214	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHQL489	Ohio Valley
Illinois	Hanseniaspora vineae	2	yHRVM156	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHQL512	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHKB90	Ohio Valley
Illinois	Hanseniaspora uvarum	3	yHRVM169	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL30	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL49	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL31	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL194	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL58	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL108	Ohio Valley
Indiana	Hanseniaspora uvarum	3	yHQL167	Ohio Valley
Michigan	Hanseniaspora uvarum	3	yHQL165	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL166	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL89	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHAB182	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHAB226	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL183	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHKB345	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHKB422	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL37	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL38	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL39	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL138	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL32	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL33	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL34	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL93	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHAB173	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL35	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL90	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL109	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL36	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL56	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL46	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL48	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL64	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL41	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL169	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL164	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL71	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHRVM45	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL96	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHAB217	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL52	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL155	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL69	Upper Midwest
Michigan	Hanseniaspora uvarum	3	yHQL190	Upper Midwest
Minnesota	Hanseniaspora uvarum	3	yHMJ16	Upper Midwest
Minnesota	Hanseniaspora uvarum	3	yHMJ19	Upper Midwest
North Carolina	Hanseniaspora vineae	2	yHKS768	Southeast
North Carolina	Hanseniaspora uvarum	3	yHKS775	Southeast
South Carolina	Hanseniaspora vineae	2	yHRVM203	Southeast
South Carolina	Hanseniaspora vineae	2	yHRVM178	Southeast
South Carolina	Hanseniaspora vineae	2	yHRVM202	Southeast
South Carolina	Hanseniaspora vineae	2	yHRVM174	Southeast
Washington	Hanseniaspora uvarum	3	yHKS540	Northwest
Washington	Hanseniaspora uvarum	3	yHRVM118	Northwest
Washington	Hanseniaspora uvarum	3	yHKS511	Northwest
Washington	Hanseniaspora uvarum	3	yHRVM97	Northwest
Washington	Hanseniaspora uvarum	3	yHKS512	Northwest
Washington	Hanseniaspora uvarum	3	yHKS514	Northwest
Washington	Hanseniaspora uvarum	3	yHKS516	Northwest
Washington	Hanseniaspora uvarum	3	yHKS518	Northwest
Washington	Hanseniaspora uvarum	3	yHKS517	Northwest
Washington	Hanseniaspora uvarum	3	yHKS519	Northwest
Washington	Hanseniaspora uvarum	3	yHKS520	Northwest
Washington	Hanseniaspora uvarum	3	yHKS539	Northwest
Washington	Hanseniaspora uvarum	3	yHKS521	Northwest
Washington	Hanseniaspora uvarum	3	yHKS506	Northwest
Washington	Hanseniaspora uvarum	3	yHKS508	Northwest
Washington	Hanseniaspora uvarum	3	yHKS510	Northwest
Washington	Hanseniaspora uvarum	3	yHKS538	Northwest
Washington	Hanseniaspora uvarum	3	yHKS504	Northwest
Washington	Hanseniaspora uvarum	3	yHKS541	Northwest
Washington	Hanseniaspora uvarum	3	yHKS544	Northwest
Washington	Hanseniaspora uvarum	3	yHKS535	Northwest
Washington	Hanseniaspora uvarum	3	yHKS536	Northwest
Wisconsin	Hanseniaspora vineae	2	yHKS571	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL88	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS329	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL186	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHKB106	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL87	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL276	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL40	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHKS362	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS325	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS430	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL189	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL94	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS347	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHKS695	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL28	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHKS53	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL192	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL63	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL76	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHQL50	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHRVM59	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHRVM8	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS3	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS361	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL255	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS330	Upper Midwest
Wisconsin	Hanseniaspora uvarum	3	yHRM17	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHRM63	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL65	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS386	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS415	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL188	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHKS371	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL82	Upper Midwest
Wisconsin	Hanseniaspora vineae	2	yHQL66	Upper Midwest
