Specific	NonBasidioObs	BasidioObs	NonPezizoObs	PezizoObs	NonSaccharosObs	SaccharoObs	NonTaphrinoObs	TaphrinoObs	BasidioEnrichment	PezizoEnrichment	SaccharoEnrichment	TaphrinoEnrichment	BH_BasidioEnrichment	BH_PezizoEnrichment	BH_SaccharoEnrichment	BH_TaphrinoEnrichment
Ash	3	0	3	0	0	3	3	0	1	1	0.303364541416367	1	1	1	0.889613447397827	1
Bark	222	80	289	13	94	208	301	1	0.90816191775133	0.121100278108823	0.269312197917389	0.587564371972265	1	0.650103790727032	0.889613447397827	1
Berries/Needles	1	0	1	0	0	1	1	0	1	1	0.672141918528252	1	1	1	1	1
Compost	1	0	1	0	0	1	1	0	1	1	0.672141918528252	1	1	1	1	1
Duff	43	14	53	4	18	39	57	0	0.8340188213821	0.0955329007757895	0.484608558799678	1	1	0.650103790727032	1	1
Feather	1	1	2	0	1	1	2	0	0.502193988497435	1	0.892653961490513	1	1	1	1	1
Flotsam	4	0	4	0	0	4	4	0	1	1	0.203707591997824	1	1	1	0.889613447397827	1
Flower	5	3	8	0	3	5	8	0	0.433900800593554	1	0.752940939717087	1	1	1	1	1
Flower/Leaves	4	2	6	0	2	4	6	0	0.567873747212866	1	0.69138661346971	1	1	1	1	1
Fruit	65	45	104	6	51	59	110	0	0.00504925339673879	0.118034304429491	0.999266655591212	1	0.0991457072509048	0.650103790727032	1	1
Fruit/Leaves	10	8	18	0	8	10	18	0	0.127423311036502	1	0.90293449405893	1	0.849488740243347	1	1	1
Fungus	75	19	94	0	19	75	94	0	0.986296138330264	1	0.00400199176151765	1	1	1	0.104037279443666	1
Grass	3	1	4	0	1	3	4	0	0.752461342521815	1	0.602335389671997	1	1	1	1	1
Humus	3	4	7	0	5	2	6	1	0.118318651008993	1	0.993855496762117	0.0182882277410024	0.849488740243347	1	1	0.731529109640094
Leaves	80	59	132	7	66	73	139	0	0.000416315075084659	0.130020758145406	0.999945950143088	1	0.0166526030033864	0.650103790727032	1	1
Leaves/Bark	2	5	7	0	5	2	7	0	0.0262216564471012	1	0.993855496762117	1	0.262216564471012	1	1	1
Lichen	8	0	5	3	3	5	8	0	1	0.00138760963787059	0.752940939717087	1	1	0.0555043855148236	1	1
Mold	2	0	2	0	0	2	2	0	1	1	0.451629875565992	1	1	1	1	1
Moss	17	11	25	3	14	14	28	0	0.1713697141078	0.0526695288925258	0.98243903290129	1	0.979255509187429	0.608269163813489	1	1
Needles	13	2	12	3	5	10	15	0	0.96181229007041	0.00967958134582378	0.636327480317992	1	1	0.193591626916476	1	1
Nut	18	1	19	0	1	18	19	0	0.998733375581534	1	0.00520186397218332	1	1	1	0.104037279443666	1
Pine Cone	13	6	19	0	6	13	19	0	0.504754752167766	1	0.563619719059589	1	1	1	1	1
Plant Matter	40	11	49	2	14	37	50	1	0.924338828275343	0.472938170103652	0.253287761316351	0.127565903097495	1	1	0.889613447397827	1
Sand	25	7	31	1	8	24	32	0	0.87594597419965	0.637338257776506	0.22726217259201	1	1	1	0.889613447397827	1
Sap	7	0	7	0	0	7	7	0	1	1	0.0615592863346261	1	1	1	0.492474290677009	1
Sawdust	3	2	5	0	2	3	5	0	0.460241794299873	1	0.798498080622331	1	1	1	1	1
Sea Grass	1	0	1	0	0	1	1	0	1	1	0.672141918528252	1	1	1	1	1
Seed	8	2	10	0	2	8	10	0	0.842578171791219	1	0.31136470658924	1	1	1	0.889613447397827	1
Soil	343	149	489	3	153	339	491	1	0.328226065901071	0.999997777041628	0.181173249767922	0.790650981346474	1	1	0.889613447397827	1
Soil/Bark	4	1	5	0	1	4	5	0	0.8255162295773	1	0.471560262371774	1	1	1	1	1
Soil/Grass	7	0	7	0	0	7	7	0	1	1	0.0615592863346261	1	1	1	0.492474290677009	1
Soil/Grass/Twigs	4	0	4	0	0	4	4	0	1	1	0.203707591997824	1	1	1	0.889613447397827	1
Soil/Plant Matter	7	4	11	0	4	7	11	0	0.413802008432153	1	0.725182184396767	1	1	1	1	1
Soil/Twigs/Fungus	4	0	4	0	0	4	4	0	1	1	0.203707591997824	1	1	1	0.889613447397827	1
Spider	1	1	1	1	2	0	2	0	0.502193988497435	0.0608269163813489	1	1	1	0.608269163813489	1	1
Twigs	11	4	14	1	5	10	15	0	0.687511257696811	0.376696425178821	0.636327480317992	1	1	1	1	1
Water	1	0	1	0	0	1	1	0	1	1	0.672141918528252	1	1	1	1	1
Wood	15	1	16	0	1	15	16	0	0.996343777717322	1	0.0148910993379299	1	1	1	0.198547991172399	1
Bulb	0	4	4	0	4	0	4	0	0.00743592804381786	1	1	1	0.0991457072509048	1	1	1
Insect	0	1	1	0	1	0	1	0	0.294349540078844	1	1	1	1	1	1	1
